x,x-1,y-1,x-2,y-2,y
240,470,51.20065873,221,-38.94958765,-80.99961869
463,240,-80.99961869,470,51.20065873,43.75015239
385,463,43.75015239,240,-80.99961869,-42.64947783
131,385,-42.64947783,463,43.75015239,-82.74945054
329,131,-82.74945054,385,-42.64947783,42.95014602
337,329,42.95014602,131,-82.74945054,-14.4494582
438,337,-14.4494582,329,42.95014602,8.404766743
118,438,8.404766743,337,-14.4494582,-101.8860413
118,118,-101.8860413,438,8.404766743,-5.899903677
254,118,-5.899903677,118,-101.8860413,28.12792605
319,254,28.12792605,118,-5.899903677,3.551262339
401,319,3.551262339,254,28.12792605,4.623467482
373,401,4.623467482,319,3.551262339,-27.00531016
403,373,-27.00531016,401,4.623467482,-11.14863067
338,403,-11.14863067,373,-27.00531016,-36.39201864
253,338,-36.39201864,403,-11.14863067,-38.1492455
466,253,-38.1492455,338,-36.39201864,40.60068664
367,466,40.60068664,253,-38.1492455,-48.04939372
280,367,-48.04939372,466,40.60068664,-40.09956705
271,280,-40.09956705,367,-48.04939372,-16.24937849
401,271,-16.24937849,280,-40.09956705,18.95377298
390,401,18.95377298,271,-16.24937849,-22.79722412
460,390,-22.79722412,401,18.95377298,-1.998079558
132,460,-1.998079558,390,-22.79722412,-104.7996924
484,132,-104.7996924,460,-1.998079558,81.40009104
181,484,81.40009104,132,-104.7996924,-99.9498491
373,181,-99.9498491,484,81.40009104,38.95010009
407,373,38.95010009,181,-99.9498491,-10.14934129
186,407,-10.14934129,373,38.95010009,-75.59038546
333,186,-75.59038546,407,-10.14934129,27.45017498
487,333,27.45017498,186,-75.59038546,21.85132536
350,487,21.85132536,333,27.45017498,-58.59791005
184,350,-58.59791005,487,21.85132536,-58.99970886
383,184,-58.99970886,350,-58.59791005,40.55028719
121,383,40.55028719,184,-58.99970886,-84.64939222
464,121,-84.64939222,383,40.55028719,79.70013954
461,464,79.70013954,121,-84.64939222,-23.9498426
252,461,-23.9498426,464,79.70013954,-75.29825964
249,252,-75.29825964,461,-23.9498426,-13.34982366
333,249,-13.34982366,252,-75.29825964,8.555579803
255,333,8.555579803,249,-13.34982366,-36.13652254
481,255,-36.13652254,333,8.555579803,43.7507652
220,481,43.7507652,255,-36.13652254,-89.29947784
150,220,-89.29947784,481,43.7507652,-28.49987461
188,150,-28.49987461,220,-89.29947784,2.001229645
482,188,2.001229645,150,-28.49987461,64.29980339
340,482,64.29980339,188,2.001229645,-59.59975819
157,340,-59.59975819,482,64.29980339,-62.74971856
