x,x-1,y-1,x-2,y-2,y
0.35,0.925,0.801051481,0.3025,0.388741567,0.196422129
0.9075,0.35,0.196422129,0.925,0.801051481,0.766975949
0.7125,0.9075,0.766975949,0.35,0.196422129,0.3718198
0.0775,0.7125,0.3718198,0.9075,0.766975949,0.188419122
0.5725,0.0775,0.188419122,0.7125,0.3718198,0.763317051
0.5925,0.5725,0.763317051,0.0775,0.188419122,0.500795018
0.845,0.5925,0.500795018,0.5725,0.763317051,0.605320784
0.045,0.845,0.605320784,0.5925,0.500795018,0.100896277
0.045,0.045,0.100896277,0.845,0.605320784,0.539897142
0.385,0.045,0.539897142,0.045,0.100896277,0.695526351
0.5475,0.385,0.695526351,0.045,0.539897142,0.583122864
0.7525,0.5475,0.583122864,0.385,0.695526351,0.588026686
0.6825,0.7525,0.588026686,0.5475,0.583122864,0.443369748
0.7575,0.6825,0.443369748,0.7525,0.588026686,0.515891637
0.595,0.7575,0.515891637,0.6825,0.443369748,0.400438829
0.3825,0.595,0.400438829,0.7575,0.515891637,0.392402
0.915,0.3825,0.392402,0.595,0.400438829,0.752571596
0.6675,0.915,0.752571596,0.3825,0.392402,0.34712282
0.45,0.6675,0.34712282,0.915,0.752571596,0.383482037
0.4275,0.45,0.383482037,0.6675,0.34712282,0.492562928
0.7525,0.4275,0.492562928,0.45,0.383482037,0.653567572
0.725,0.7525,0.653567572,0.4275,0.492562928,0.462615792
0.9,0.725,0.462615792,0.7525,0.653567572,0.557742471
0.08,0.9,0.557742471,0.725,0.462615792,0.087570443
0.96,0.08,0.087570443,0.9,0.557742471,0.939171185
0.2025,0.96,0.939171185,0.08,0.087570443,0.109751619
0.6825,0.2025,0.109751619,0.96,0.939171185,0.745022496
0.7675,0.6825,0.745022496,0.2025,0.109751619,0.520461973
0.215,0.7675,0.520461973,0.6825,0.745022496,0.221161723
0.5825,0.215,0.221161723,0.7675,0.520461973,0.692426598
0.9675,0.5825,0.692426598,0.215,0.221161723,0.666819778
0.625,0.9675,0.666819778,0.5825,0.692426598,0.298878272
0.21,0.625,0.298878272,0.9675,0.666819778,0.297040611
0.7075,0.21,0.297040611,0.625,0.298878272,0.75234109
0.0525,0.7075,0.75234109,0.21,0.297040611,0.179729576
0.91,0.0525,0.179729576,0.7075,0.75234109,0.93139631
0.9025,0.91,0.93139631,0.0525,0.179729576,0.457344192
0.38,0.9025,0.457344192,0.91,0.93139631,0.222497786
0.3725,0.38,0.222497786,0.9025,0.457344192,0.505824292
0.5825,0.3725,0.505824292,0.38,0.222497786,0.606010541
0.3875,0.5825,0.606010541,0.3725,0.505824292,0.401607362
0.9525,0.3875,0.401607362,0.5825,0.606010541,0.766978751
0.3,0.9525,0.766978751,0.3875,0.401607362,0.158462009
0.125,0.3,0.158462009,0.9525,0.766978751,0.436534229
0.22,0.125,0.436534229,0.3,0.158462009,0.576033656
0.955,0.22,0.576033656,0.125,0.436534229,0.860961547
0.6,0.955,0.860961547,0.22,0.576033656,0.294296234
0.1425,0.6,0.294296234,0.955,0.860961547,0.279889619
0.4875,0.1425,0.279889619,0.6,0.294296234,0.688768091
0,0.4875,0.688768091,0.1425,0.279889619,0.276464572
0.6675,0,0.276464572,0.4875,0.688768091,0.849300936
0.82,0.6675,0.849300936,0,0.276464572,0.552703942
0.4475,0.82,0.552703942,0.6675,0.849300936,0.299071164
0.6325,0.4475,0.299071164,0.82,0.552703942,0.58769201
0.4425,0.6325,0.58769201,0.4475,0.299071164,0.399469643
0.775,0.4425,0.399469643,0.6325,0.58769201,0.655611841
0.2975,0.775,0.655611841,0.4425,0.399469643,0.254745727
0.4875,0.2975,0.254745727,0.775,0.655611841,0.603699209
0.135,0.4875,0.603699209,0.2975,0.254745727,0.338271055
0.7825,0.135,0.338271055,0.4875,0.603699209,0.827805777
0.62,0.7825,0.827805777,0.135,0.338271055,0.398116937
0.84,0.62,0.398116937,0.7825,0.827805777,0.587922712
0.89,0.84,0.587922712,0.62,0.398116937,0.490250939
0.745,0.89,0.490250939,0.84,0.587922712,0.396302332
0.0475,0.745,0.396302332,0.89,0.490250939,0.156862151
0.955,0.0475,0.156862151,0.745,0.396302332,0.95472153
0.945,0.955,0.95472153,0.0475,0.156862151,0.452084484
0.0725,0.945,0.452084484,0.955,0.95472153,0.058534012
0.1725,0.0725,0.058534012,0.945,0.452084484,0.58311746
0.14,0.1725,0.58311746,0.0725,0.058534012,0.513706119
0.03,0.14,0.513706119,0.1725,0.58311746,0.480931027
0.7625,0.03,0.480931027,0.14,0.513706119,0.876296873
0.3175,0.7625,0.876296873,0.03,0.480931027,0.270742158
0.77,0.3175,0.270742158,0.7625,0.876296873,0.721926519
0.6625,0.77,0.721926519,0.3175,0.270742158,0.424417629
0.68,0.6625,0.424417629,0.77,0.721926519,0.491421398
0.1575,0.68,0.491421398,0.6625,0.424417629,0.242859024
0.3925,0.1575,0.242859024,0.68,0.491421398,0.637086317
0.6175,0.3925,0.637086317,0.1575,0.242859024,0.611035294
0.4175,0.6175,0.611035294,0.3925,0.637086317,0.396105968
0.58,0.4175,0.396105968,0.6175,0.611035294,0.580147537
0.6475,0.58,0.580147537,0.4175,0.396105968,0.522316856
0.895,0.6475,0.522316856,0.58,0.580147537,0.598028916
0.08,0.895,0.598028916,0.6475,0.522316856,0.089494996
0.3125,0.08,0.089494996,0.895,0.598028916,0.643031488
0.0825,0.3125,0.643031488,0.08,0.089494996,0.410251974
0.8375,0.0825,0.410251974,0.3125,0.643031488,0.881776159
0.3675,0.8375,0.881776159,0.0825,0.410251974,0.252447779
0.905,0.3675,0.252447779,0.8375,0.881776159,0.756228292
0.62,0.905,0.756228292,0.3675,0.252447779,0.330886483
0.85,0.62,0.330886483,0.905,0.756228292,0.592494659
0.54,0.85,0.592494659,0.62,0.330886483,0.324622112
0.99,0.54,0.324622112,0.85,0.592494659,0.700431203
0.595,0.99,0.700431203,0.54,0.324622112,0.272804631
0.3,0.595,0.272804631,0.99,0.700431203,0.35466757
0.3325,0.3,0.35466757,0.595,0.272804631,0.531437691
0.7525,0.3325,0.531437691,0.3,0.35466757,0.705764107
0.3125,0.7525,0.705764107,0.3325,0.531437691,0.273947624
0.565,0.3125,0.273947624,0.7525,0.705764107,0.63091218
0.935,0.565,0.63091218,0.3125,0.273947624,0.661577307
0.56,0.935,0.661577307,0.565,0.63091218,0.286988034
0.7425,0.56,0.286988034,0.935,0.661577307,0.576257932
0.2875,0.7425,0.576257932,0.56,0.286988034,0.268875936
0.1625,0.2875,0.268875936,0.7425,0.576257932,0.46054606
0.5375,0.1625,0.46054606,0.2875,0.268875936,0.700666699
0.8775,0.5375,0.700666699,0.1625,0.46054606,0.650354145
0.2925,0.8775,0.650354145,0.5375,0.700666699,0.196205395
0.31,0.2925,0.196205395,0.8775,0.650354145,0.525261922
0.9,0.31,0.525261922,0.2925,0.196205395,0.785552848
0.075,0.9,0.785552848,0.31,0.525261922,0.084369525
0.3625,0.075,0.084369525,0.9,0.785552848,0.668643561
0.0475,0.3625,0.668643561,0.075,0.084369525,0.366795687
0.55,0.0475,0.366795687,0.3625,0.668643561,0.769493113
0.3575,0.55,0.769493113,0.0475,0.366795687,0.405664279
0.025,0.3575,0.405664279,0.55,0.769493113,0.359243728
0.2875,0.025,0.359243728,0.3575,0.405664279,0.661784989
0.895,0.2875,0.661784989,0.025,0.359243728,0.795570762
0.22,0.895,0.795570762,0.2875,0.661784989,0.153430504
0.385,0.22,0.153430504,0.895,0.795570762,0.599353881
0.915,0.385,0.599353881,0.22,0.153430504,0.75128534
0.9225,0.915,0.75128534,0.385,0.599353881,0.463749305
0.3825,0.9225,0.463749305,0.915,0.75128534,0.212665593
0.0775,0.3825,0.212665593,0.9225,0.463749305,0.369531382
0.265,0.0775,0.369531382,0.3825,0.212665593,0.622681065
0.4025,0.265,0.622681065,0.0775,0.369531382,0.582690252
0.04,0.4025,0.582690252,0.265,0.622681065,0.341756276
0.73,0.04,0.341756276,0.4025,0.582690252,0.855933388
0.3075,0.73,0.855933388,0.04,0.341756276,0.284005704
0.665,0.3075,0.284005704,0.73,0.855933388,0.679392273
0.4575,0.665,0.679392273,0.3075,0.284005704,0.388289867
0.4575,0.4575,0.388289867,0.665,0.679392273,0.502167614
0.2825,0.4575,0.502167614,0.4575,0.388289867,0.42214959
0.6375,0.2825,0.42214959,0.4575,0.502167614,0.680539037
0.8375,0.6375,0.680539037,0.2825,0.42214959,0.577178822
0.9875,0.8375,0.577178822,0.6375,0.680539037,0.536762655
0.385,0.9875,0.536762655,0.8375,0.577178822,0.178229129
0.1475,0.385,0.178229129,0.9875,0.536762655,0.400174279
0.265,0.1475,0.400174279,0.385,0.178229129,0.584263927
0.3,0.265,0.584263927,0.1475,0.400174279,0.536076581
0.48,0.3,0.536076581,0.265,0.584263927,0.598994608
0.04,0.48,0.598994608,0.3,0.536076581,0.298959636
0.8275,0.04,0.298959636,0.48,0.598994608,0.900525298
0.165,0.8275,0.900525298,0.04,0.298959636,0.165320859
0.2925,0.165,0.165320859,0.8275,0.900525298,0.587233911
0.01,0.2925,0.587233911,0.165,0.165320859,0.388273488
0.955,0.01,0.388273488,0.2925,0.587233911,0.975305096
0.2075,0.955,0.975305096,0.01,0.388273488,0.114782447
0.3075,0.2075,0.114782447,0.955,0.975305096,0.570768876
0.725,0.3075,0.570768876,0.2075,0.114782447,0.709487529
0.0925,0.725,0.709487529,0.3075,0.570768876,0.188421309
0.9025,0.0925,0.188421309,0.725,0.709487529,0.906012937
0.835,0.9025,0.906012937,0.0925,0.188421309,0.430588825
0.92,0.835,0.430588825,0.9025,0.906012937,0.506514667
0.195,0.92,0.506514667,0.835,0.430588825,0.128300056
0.2125,0.195,0.128300056,0.92,0.506514667,0.534180216
0.0625,0.2125,0.534180216,0.195,0.128300056,0.456059146
0.065,0.0625,0.456059146,0.2125,0.534180216,0.539447119
0.4975,0.065,0.539447119,0.0625,0.456059146,0.735998545
0.69,0.4975,0.735998545,0.065,0.539447119,0.586550622
0.855,0.69,0.586550622,0.4975,0.735998545,0.556596199
0.35,0.855,0.556596199,0.69,0.586550622,0.235593638
0.4675,0.35,0.235593638,0.855,0.556596199,0.565738335
0.5475,0.4675,0.565738335,0.35,0.235593638,0.542143525
0.005,0.5475,0.542143525,0.4675,0.565738335,0.245966286
0.3825,0.005,0.245966286,0.5475,0.542143525,0.716209375
0.5625,0.3825,0.716209375,0.005,0.245966286,0.591353832
0.2625,0.5625,0.591353832,0.3825,0.716209375,0.355506846
0.4275,0.2625,0.355506846,0.5625,0.591353832,0.595467913
0.1125,0.4275,0.595467913,0.2625,0.355506846,0.36095495
0.4625,0.1125,0.36095495,0.4275,0.595467913,0.693800129
0.035,0.4625,0.693800129,0.1125,0.36095495,0.306192383
0.4025,0.035,0.306192383,0.4625,0.693800129,0.708892115
0.2275,0.4025,0.708892115,0.035,0.306192383,0.427162543
0.25,0.2275,0.427162543,0.4025,0.708892115,0.533498577
0.035,0.25,0.533498577,0.2275,0.427162543,0.422897165
0.3425,0.035,0.422897165,0.25,0.533498577,0.681453802
0.88,0.3425,0.681453802,0.035,0.422897165,0.758521394
0.4675,0.88,0.758521394,0.3425,0.681453802,0.27485999
0.22,0.4675,0.27485999,0.88,0.758521394,0.388054764
0.3425,0.22,0.388054764,0.4675,0.27485999,0.57991857
0.075,0.3425,0.57991857,0.22,0.388054764,0.390841583
0.4125,0.075,0.390841583,0.3425,0.57991857,0.691514166
0.15,0.4125,0.691514166,0.075,0.390841583,0.386230359
0.0275,0.15,0.386230359,0.4125,0.691514166,0.474268671
0.905,0.0275,0.474268671,0.15,0.386230359,0.942840764
0.3025,0.905,0.942840764,0.0275,0.474268671,0.185673134
0.635,0.3025,0.185673134,0.905,0.942840764,0.668415129
0.57,0.635,0.668415129,0.3025,0.185673134,0.456209337
0.0825,0.57,0.456209337,0.635,0.668415129,0.268919522
0.3025,0.0825,0.268919522,0.57,0.456209337,0.637086484
0.3425,0.3025,0.637086484,0.0825,0.268919522,0.534656406
0.575,0.3425,0.534656406,0.3025,0.637086484,0.619110052
0.705,0.575,0.619110052,0.3425,0.534656406,0.550908112
0.9875,0.705,0.550908112,0.575,0.619110052,0.609075741
0.3425,0.9875,0.609075741,0.705,0.550908112,0.15874141
0.115,0.3425,0.15874141,0.9875,0.609075741,0.408635355
0.425,0.115,0.408635355,0.3425,0.15874141,0.675278667
0.0825,0.425,0.675278667,0.115,0.408635355,0.348500251
0.8625,0.0825,0.348500251,0.425,0.675278667,0.893208233
0.2925,0.8625,0.893208233,0.0825,0.348500251,0.204425059
0.4075,0.2925,0.204425059,0.8625,0.893208233,0.569854419
0.6175,0.4075,0.569854419,0.2925,0.204425059,0.605998218
0.4575,0.6175,0.605998218,0.4075,0.569854419,0.414413442
0.61,0.4575,0.414413442,0.6175,0.605998218,0.571915916
0.045,0.61,0.571915916,0.4575,0.414413442,0.231875208
0.14,0.045,0.231875208,0.61,0.571915916,0.583346622
0.1575,0.14,0.583346622,0.045,0.231875208,0.539538253
0.5475,0.1575,0.539538253,0.14,0.583346622,0.708100473
0.595,0.5475,0.708100473,0.1575,0.539538253,0.515661487
0.53,0.595,0.515661487,0.5475,0.708100473,0.459895123
0.3575,0.53,0.459895123,0.595,0.515661487,0.416646899
0.7775,0.3575,0.416646899,0.53,0.459895123,0.70340664
0.4275,0.7775,0.70340664,0.3575,0.416646899,0.312823278
0.5525,0.4275,0.312823278,0.7775,0.70340664,0.562080076
0.67,0.5525,0.562080076,0.4275,0.312823278,0.549390452
0.55,0.67,0.549390452,0.5525,0.562080076,0.428136558
0.2075,0.55,0.428136558,0.67,0.549390452,0.337063122
0.325,0.2075,0.337063122,0.55,0.428136558,0.578773994
0.305,0.325,0.578773994,0.2075,0.337063122,0.505726671
0.4925,0.305,0.505726671,0.325,0.578773994,0.601894232
0.9275,0.4925,0.601894232,0.305,0.505726671,0.69799083
0.7525,0.9275,0.69799083,0.4925,0.601894232,0.379140709
0.8175,0.7525,0.379140709,0.9275,0.69799083,0.504911481
0.015,0.8175,0.504911481,0.7525,0.379140709,0.102229289
0.92,0.015,0.102229289,0.8175,0.504911481,0.956550839
0.9875,0.92,0.956550839,0.015,0.102229289,0.490731281
0.5025,0.9875,0.490731281,0.92,0.956550839,0.231882116
0.1425,0.5025,0.231882116,0.9875,0.490731281,0.333400141
0.1575,0.1425,0.333400141,0.5025,0.231882116,0.537840342
0.685,0.1575,0.537840342,0.1425,0.333400141,0.770973493
0.675,0.685,0.770973493,0.1575,0.537840342,0.476783509
0.84,0.675,0.476783509,0.685,0.770973493,0.557745443
0.4125,0.84,0.557745443,0.675,0.476783509,0.272572477
0.8175,0.4125,0.272572477,0.84,0.557745443,0.691512185
0.7975,0.8175,0.691512185,0.4125,0.272572477,0.460093775
0.925,0.7975,0.460093775,0.8175,0.691512185,0.529385828
0.07,0.925,0.529385828,0.7975,0.460093775,0.068427026
0.8225,0.07,0.068427026,0.925,0.529385828,0.881772648
0.825,0.8225,0.881772648,0.07,0.068427026,0.469921799
0.2475,0.825,0.469921799,0.8225,0.881772648,0.204434315
0.105,0.2475,0.204434315,0.825,0.469921799,0.456200804
0.035,0.105,0.456200804,0.2475,0.204434315,0.502401092
0.785,0.035,0.502401092,0.105,0.456200804,0.883853272
0,0.785,0.883853272,0.035,0.502401092,0.11318207
0.67,0,0.11318207,0.785,0.883853272,0.850443663
0.6675,0.67,0.850443663,0,0.11318207,0.481584668
0.545,0.6675,0.481584668,0.67,0.850443663,0.426942237
0.835,0.545,0.426942237,0.6675,0.481584668,0.626799718
0.61,0.835,0.626799718,0.545,0.426942237,0.364754846
0.505,0.61,0.364754846,0.835,0.626799718,0.440194865
0.2625,0.505,0.440194865,0.61,0.364754846,0.3869162
0.7675,0.2625,0.3869162,0.505,0.440194865,0.750970652
0.8525,0.7675,0.750970652,0.2625,0.3869162,0.512686686
0.55,0.8525,0.512686686,0.7675,0.750970652,0.32771465
0.8,0.55,0.32771465,0.8525,0.512686686,0.608044806
0.0375,0.8,0.608044806,0.55,0.32771465,0.122155382
0.8375,0.0375,0.122155382,0.8,0.608044806,0.906470112
0.7325,0.8375,0.906470112,0.0375,0.122155382,0.419383537
0.12,0.7325,0.419383537,0.8375,0.906470112,0.196882137
0.5125,0.12,0.196882137,0.7325,0.419383537,0.712550276
0.475,0.5125,0.712550276,0.12,0.196882137,0.479987228
0.0925,0.475,0.479987228,0.5125,0.712550276,0.325636828
0.4575,0.0925,0.325636828,0.475,0.479987228,0.702489331
0.055,0.4575,0.702489331,0.0925,0.325636828,0.318082972
0.2125,0.055,0.318082972,0.4575,0.702489331,0.611017511
0.83,0.2125,0.611017511,0.055,0.318082972,0.807042719
0.1325,0.83,0.807042719,0.2125,0.611017511,0.149085427
0.0425,0.1325,0.149085427,0.83,0.807042719,0.490731199
0.5525,0.0425,0.490731199,0.1325,0.149085427,0.773394711
0.6,0.5525,0.773394711,0.0425,0.490731199,0.515201579
0.765,0.6,0.515201579,0.5525,0.773394711,0.564629609
0.4525,0.765,0.564629609,0.6,0.515201579,0.334794075
0.2475,0.4525,0.334794075,0.765,0.564629609,0.408865235
0.2425,0.2475,0.408865235,0.4525,0.334794075,0.519090713
0.1825,0.2425,0.519090713,0.2475,0.408865235,0.494431028
0.5025,0.1825,0.494431028,0.2425,0.519090713,0.673692249
0.4525,0.5025,0.673692249,0.1825,0.494431028,0.475188828
0.42,0.4525,0.475188828,0.5025,0.673692249,0.487769171
0.3325,0.42,0.487769171,0.4525,0.475188828,0.465591162
0.9775,0.3325,0.465591162,0.42,0.487769171,0.808604191
0.0575,0.9775,0.808604191,0.3325,0.465591162,0.033831036
0.345,0.0575,0.033831036,0.9775,0.808604191,0.670244242
0.675,0.345,0.670244242,0.0575,0.033831036,0.663392463
0.5325,0.675,0.663392463,0.345,0.670244242,0.417106163
0.9475,0.5325,0.417106163,0.675,0.663392463,0.685112321
0.61,0.9475,0.685112321,0.5325,0.417106163,0.302991775
0.0725,0.61,0.302991775,0.9475,0.685112321,0.242386299
0.6325,0.0725,0.242386299,0.61,0.302991775,0.79350296
0.675,0.6325,0.79350296,0.0725,0.242386299,0.505596668
0.205,0.675,0.505596668,0.6325,0.79350296,0.267336301
0.5075,0.205,0.267336301,0.675,0.505596668,0.663613272
0.4575,0.5075,0.663613272,0.205,0.267336301,0.474733301
0.7075,0.4575,0.474733301,0.5075,0.663613272,0.616515508
0.4925,0.7075,0.616515508,0.4575,0.474733301,0.38100309
0.6725,0.4925,0.38100309,0.7075,0.616515508,0.581290423
0.105,0.6725,0.581290423,0.4925,0.38100309,0.223365769
0.855,0.105,0.223365769,0.6725,0.581290423,0.877428167
0.2475,0.855,0.877428167,0.105,0.223365769,0.187960243
0.78,0.2475,0.187960243,0.855,0.877428167,0.764917804
0.445,0.78,0.764917804,0.2475,0.187960243,0.319452289
0.5075,0.445,0.319452289,0.78,0.764917804,0.531894488
0.9875,0.5075,0.531894488,0.445,0.319452289,0.717200008
0.1975,0.9875,0.717200008,0.5075,0.531894488,0.092375531
0.14,0.1975,0.092375531,0.9875,0.717200008,0.499649569
0.8225,0.14,0.499649569,0.1975,0.092375531,0.843375208
0.405,0.8225,0.843375208,0.14,0.499649569,0.277831469
0.405,0.405,0.277831469,0.8225,0.843375208,0.506968026
0.515,0.405,0.506968026,0.405,0.277831469,0.557302826
0.0275,0.515,0.557302826,0.405,0.506968026,0.274791879
0.36,0.0275,0.274791879,0.515,0.557302826,0.693570316
0.685,0.36,0.693570316,0.0275,0.274791879,0.65973061
0.35,0.685,0.65973061,0.36,0.693570316,0.328150735
0.4525,0.35,0.328150735,0.685,0.65973061,0.558878762
0.1625,0.4525,0.558878762,0.35,0.328150735,0.37111414
0.8525,0.1625,0.37111414,0.4525,0.558878762,0.84472871
0.2225,0.8525,0.84472871,0.1625,0.37111414,0.1778986
0.39,0.2225,0.1778986,0.8525,0.84472871,0.60026867
0.4675,0.39,0.60026867,0.2225,0.1778986,0.54386849
0.9825,0.4675,0.54386849,0.39,0.60026867,0.736963373
0.7525,0.9825,0.736963373,0.4675,0.54386849,0.348952786
0.0925,0.7525,0.348952786,0.9825,0.736963373,0.173325789
0.025,0.0925,0.173325789,0.7525,0.348952786,0.504680706
0.51,0.025,0.504680706,0.0925,0.173325789,0.763569657
0.2775,0.51,0.763569657,0.025,0.504680706,0.391028945
0.8675,0.2775,0.391028945,0.51,0.763569657,0.788474198
0.745,0.8675,0.788474198,0.2775,0.391028945,0.408636728
0.33,0.745,0.408636728,0.8675,0.788474198,0.28606649
0.125,0.33,0.28606649,0.745,0.408636728,0.420069958
0.825,0.125,0.420069958,0.33,0.28606649,0.852734426
0.3525,0.825,0.852734426,0.125,0.420069958,0.252447985
0.0875,0.3525,0.252447985,0.825,0.852734426,0.390570083
0.755,0.0875,0.390570083,0.3525,0.252447985,0.841299101
0.5025,0.755,0.841299101,0.0875,0.390570083,0.35947
0.3875,0.5025,0.35947,0.755,0.841299101,0.445454371
0.97,0.3875,0.445454371,0.5025,0.35947,0.774985507
0.7325,0.97,0.774985507,0.3875,0.445454371,0.346664897
0.85,0.7325,0.346664897,0.97,0.774985507,0.530751501
0.2025,0.85,0.530751501,0.7325,0.346664897,0.1701944
0.3525,0.2025,0.1701944,0.85,0.530751501,0.594094305
0.205,0.3525,0.594094305,0.2025,0.1701944,0.444434386
0.51,0.205,0.444434386,0.3525,0.594094305,0.664761974
0.07,0.51,0.664761974,0.205,0.444434386,0.296134526
0.335,0.07,0.296134526,0.51,0.664761974,0.658811245
0.055,0.335,0.658811245,0.07,0.296134526,0.385320783
0.205,0.055,0.385320783,0.335,0.658811245,0.607588676
0.335,0.205,0.607588676,0.055,0.385320783,0.584774858
0.3225,0.335,0.584774858,0.205,0.607588676,0.507933381
0.2725,0.3225,0.507933381,0.335,0.584774858,0.491672736
0.5875,0.2725,0.491672736,0.3225,0.507933381,0.663171699
0.16,0.5875,0.663171699,0.2725,0.491672736,0.294762781
0.6825,0.16,0.294762781,0.5875,0.663171699,0.768348619
0.0725,0.6825,0.768348619,0.16,0.294762781,0.202597082
0.65,0.0725,0.202597082,0.6825,0.768348619,0.801506548
0.2525,0.65,0.801506548,0.0725,0.202597082,0.302757999
0.5425,0.2525,0.302757999,0.65,0.801506548,0.653551687
0.8525,0.5425,0.653551687,0.2525,0.302757999,0.636183389
0.245,0.8525,0.636183389,0.5425,0.653551687,0.188207763
0.97,0.245,0.188207763,0.8525,0.636183389,0.853188017
0.325,0.97,0.853188017,0.245,0.188207763,0.160290222
0.78,0.325,0.160290222,0.97,0.853188017,0.722383366
0.6475,0.78,0.722383366,0.325,0.160290222,0.412068923
0.4675,0.6475,0.412068923,0.78,0.722383366,0.402464427
0.9125,0.4675,0.402464427,0.6475,0.412068923,0.704778017
0.7425,0.9125,0.704778017,0.4675,0.402464427,0.382799044
0.8175,0.7425,0.382799044,0.9125,0.704778017,0.510399893
0.5325,0.8175,0.510399893,0.7425,0.382799044,0.338917386
0.1725,0.5325,0.338917386,0.8175,0.510399893,0.330656977
0.1075,0.1725,0.330656977,0.5325,0.338917386,0.498507461
0.0625,0.1075,0.498507461,0.1725,0.330656977,0.513618955
0.9275,0.0625,0.513618955,0.1075,0.498507461,0.933944622
0.82,0.9275,0.933944622,0.0625,0.513618955,0.410007566
0.8275,0.82,0.410007566,0.9275,0.933944622,0.472440191
0.35,0.8275,0.472440191,0.82,0.410007566,0.249942044
0.3975,0.35,0.249942044,0.8275,0.472440191,0.533723313
0.2275,0.3975,0.533723313,0.35,0.249942044,0.429987348
0.6125,0.2275,0.429987348,0.3975,0.533723313,0.699291277
0.575,0.6125,0.699291277,0.2275,0.429987348,0.470841002
0.3375,0.575,0.470841002,0.6125,0.699291277,0.382804368
0.34,0.3375,0.382804368,0.575,0.470841002,0.514287441
0.5375,0.34,0.514287441,0.3375,0.382804368,0.603275196
0.305,0.5375,0.603275196,0.34,0.514287441,0.388582106
0.915,0.305,0.388582106,0.5375,0.603275196,0.795105814
0.7575,0.915,0.795105814,0.305,0.388582106,0.388284158
0.86,0.7575,0.388284158,0.915,0.795105814,0.521605355
0.875,0.86,0.521605355,0.7575,0.388284158,0.472253826
0.165,0.875,0.472253826,0.86,0.521605355,0.139261218
0.7925,0.165,0.139261218,0.875,0.472253826,0.815913146
0.955,0.7925,0.815913146,0.165,0.139261218,0.545843906
0.6275,0.955,0.545843906,0.7925,0.815913146,0.307078908
0.05,0.6275,0.307078908,0.955,0.545843906,0.222491243
0.3525,0.05,0.222491243,0.6275,0.307078908,0.677791129
0.19,0.3525,0.677791129,0.05,0.222491243,0.437456137
0.6975,0.19,0.437456137,0.3525,0.677791129,0.758748501
0.59,0.6975,0.758748501,0.19,0.437456137,0.43104795
0.4425,0.59,0.43104795,0.6975,0.758748501,0.422589397
0.32,0.4425,0.422589397,0.59,0.43104795,0.447514853
0.5875,0.32,0.447514853,0.4425,0.422589397,0.637092111
0.6025,0.5875,0.637092111,0.32,0.447514853,0.497152996
0.8475,0.6025,0.497152996,0.5875,0.637092111,0.600973669
0.6375,0.8475,0.600973669,0.6025,0.497152996,0.37052619
0.7675,0.6375,0.37052619,0.8475,0.600973669,0.545158806
0.905,0.7675,0.545158806,0.6375,0.37052619,0.536889338
0.5375,0.905,0.536889338,0.7675,0.545158806,0.293255673
0.8275,0.5375,0.293255673,0.905,0.536889338,0.627482153
